Claim_Amount,Annual_Income,Suspicious_Flags,Claim_to_Income_Ratio,Days_Since_Issuance,Claim_Type_Auto,Claim_Type_Home,Claim_Type_Life,Claim_Type_Medical,Elliptic_Outlier,IsoForest_Outlier,LOF_Outlier,Anomaly_Flag,Anomaly_Score,Actual_Label,Fraud_Score,Predicted_Label
37986,99862,1,0.380384931205063,7852,False,True,False,False,0,0,0,0,0,0,0.41288155241819846,0
1294,87281,0,0.014825677982607898,5372,False,True,False,False,0,0,1,1,1,0,0.6939032254114629,1
10773,53712,0,0.2005697050938338,860,True,False,False,False,0,0,0,0,0,1,0.45859692918578804,1
6215,46372,1,0.1340248425774174,4216,False,True,False,False,0,0,0,0,0,1,0.4150565514126444,1
29442,122643,0,0.24006262077737825,395,False,False,False,True,0,0,0,0,0,1,0.5273363158173688,1
44168,96471,1,0.45783707020762715,2220,False,False,False,True,0,0,0,0,0,0,0.28665449339575255,0
38190,125114,1,0.3052416196428857,7768,False,True,False,False,0,0,0,0,0,1,0.4145434724995317,1
49149,79870,0,0.6153624640040065,2088,False,False,False,True,0,0,0,0,0,1,0.6432772946909562,1
4580,68012,0,0.06734105746044816,670,False,True,False,False,0,0,0,0,0,1,0.4737422773215535,1
32907,147433,1,0.2231996907069652,2607,False,True,False,False,0,0,0,0,0,1,0.5489721702749474,1
45503,143141,1,0.31788935385389233,6368,True,False,False,False,0,0,0,0,0,0,0.5126472054896662,1
23308,38074,0,0.6121762882807165,1329,False,True,False,False,0,0,0,0,0,1,0.5803040148619599,1
14237,118363,1,0.12028252072015748,1358,False,True,False,False,0,0,0,0,0,1,0.5019932521709464,1
2122,37217,1,0.0570169546175135,4369,True,False,False,False,0,0,1,1,1,0,0.6821864665531338,1
8891,149155,1,0.059609131440447854,310,True,False,False,False,0,0,0,0,0,1,0.6033291482976999,1
18264,102355,1,0.17843779004445312,408,True,False,False,False,0,0,0,0,0,0,0.5516430411898318,1
23828,57553,0,0.4140183830556183,748,False,True,False,False,0,0,0,0,0,0,0.4691691613466031,1
42017,83345,1,0.504133421321015,6193,False,False,True,False,0,0,0,0,0,0,0.2957949888855391,0
43560,82572,1,0.5275396018020636,2126,False,True,False,False,0,0,0,0,0,0,0.31982277753712984,0
29828,106969,0,0.2788471426301078,238,False,False,False,True,0,0,0,0,0,0,0.4644813868528286,1
2431,65874,0,0.036903786015727,126,True,False,False,False,0,0,0,0,0,0,0.5679450144503517,1
23007,138013,1,0.16670168752218995,633,True,False,False,False,0,0,0,0,0,1,0.6218342098049927,1
43866,110156,0,0.39821707396782746,2263,True,False,False,False,0,0,0,0,0,0,0.4134640433668753,0
17679,69067,0,0.25596884184921886,2998,False,False,True,False,0,0,0,0,0,1,0.4946817520483979,1
5989,96022,1,0.06237112328424736,2024,True,False,False,False,0,0,0,0,0,1,0.6517247483882025,1
32451,99313,1,0.32675480551388036,4342,False,False,True,False,0,0,0,0,0,1,0.45634496612791914,1
